"Gender" "Race" "Hisp" "Age" "Relate"
"2" "1" "1" "31" "12"
"2" "1" "1" "64" "2"
"2" "1" "1" "40" "2"
"1" "1" "1" "4" "3"
"1" "1" "1" "26" "3"
"1" "1" "5" "5" "3"
"1" "1" "1" "16" "12"
"1" "2" "1" "69" "2"
"1" "1" "1" "19" "3"
"1" "1" "1" "16" "3"
"1" "1" "1" "28" "2"
"1" "1" "1" "6" "3"
"2" "1" "1" "22" "2"
"2" "1" "1" "16" "8"
"2" "1" "1" "14" "3"
"1" "1" "1" "47" "11"
"2" "6" "1" "75" "2"
"1" "1" "1" "22" "3"
"1" "1" "1" "19" "3"
"2" "1" "1" "80" "2"
"2" "1" "1" "67" "2"
"1" "1" "1" "32" "2"
"2" "1" "1" "8" "3"
"1" "1" "1" "28" "2"
"1" "1" "1" "8" "3"
"1" "1" "1" "15" "3"
"2" "1" "1" "22" "2"
"1" "1" "1" "8" "3"
"1" "1" "1" "2" "3"
"2" "1" "1" "18" "2"
"2" "1" "1" "28" "4"
"2" "1" "1" "56" "2"
"2" "1" "1" "69" "2"
"2" "1" "1" "18" "2"
"1" "1" "1" "5" "3"
"1" "1" "1" "23" "2"
"1" "1" "1" "6" "3"
"2" "1" "1" "13" "3"
"2" "1" "1" "63" "2"
"1" "7" "1" "86" "2"
"2" "1" "1" "16" "2"
"2" "1" "1" "28" "2"
"1" "1" "1" "4" "3"
"1" "1" "1" "45" "12"
"1" "1" "1" "6" "3"
"2" "2" "1" "65" "3"
"2" "1" "2" "44" "3"
"2" "1" "2" "46" "2"
"1" "1" "1" "7" "3"
"1" "1" "1" "5" "3"
"2" "1" "1" "83" "11"
"2" "1" "1" "47" "2"
"2" "1" "1" "38" "2"
"1" "1" "1" "90" "7"
"2" "1" "1" "15" "3"
"2" "1" "1" "45" "2"
"1" "1" "1" "19" "2"
"1" "1" "1" "12" "3"
"1" "1" "1" "6" "8"
"2" "1" "1" "66" "2"
"2" "1" "1" "35" "8"
"1" "1" "1" "10" "3"
"2" "1" "1" "60" "2"
"2" "1" "1" "13" "12"
"2" "1" "1" "22" "2"
"1" "1" "1" "44" "13"
"2" "1" "1" "68" "2"
"2" "1" "1" "61" "13"
"2" "1" "5" "19" "4"
"2" "5" "5" "68" "13"
"2" "1" "1" "49" "10"
"2" "1" "1" "9" "3"
"1" "1" "1" "22" "3"
"1" "1" "1" "5" "3"
"2" "1" "1" "69" "2"
"2" "1" "2" "22" "2"
"1" "1" "2" "1" "12"
"1" "1" "1" "10" "3"
"2" "1" "1" "21" "2"
"2" "2" "1" "13" "12"
"2" "2" "1" "19" "3"
"2" "2" "1" "61" "11"
"1" "2" "1" "25" "8"
"2" "1" "1" "56" "2"
"2" "2" "1" "58" "2"
"2" "1" "1" "22" "2"
"2" "1" "1" "62" "2"
"1" "1" "1" "28" "3"
"1" "1" "1" "63" "12"
"2" "1" "5" "23" "5"
"2" "1" "1" "45" "12"
"1" "1" "1" "64" "2"
"2" "1" "1" "28" "3"
"1" "1" "1" "22" "2"
"2" "1" "1" "9" "3"
"1" "1" "1" "28" "2"
"2" "1" "1" "25" "2"
